GameID,Rating,Opening,Variation,ACPL_White,ACPL_Black,MoveNumber,Move,CPL
1,2755 vs 2733,English,Caro-Kann defensive system,16.44,19.16,1,c4,21
1,,,,,,2,c6,24
1,,,,,,3,Nf3,5
1,,,,,,4,d5,1
1,,,,,,5,e3,3
1,,,,,,6,Nf6,4
1,,,,,,7,Nc3,5
1,,,,,,8,Bf5,7
1,,,,,,9,Qb3,32
1,,,,,,10,Qb6,0
1,,,,,,11,cxd5,7
1,,,,,,12,Qxb3,2
1,,,,,,13,axb3,2
1,,,,,,14,Nxd5,2
1,,,,,,15,Nd4,112
1,,,,,,16,Nb4,12
1,,,,,,17,Kd1,4
1,,,,,,18,Bg6,5
1,,,,,,19,e4,7
1,,,,,,20,Nd7,32
1,,,,,,21,Nc2,2
1,,,,,,22,e5,2
1,,,,,,23,f3,2
1,,,,,,24,f6,4
1,,,,,,25,Nxb4,15
1,,,,,,26,Bxb4,1
1,,,,,,27,Kc2,5
1,,,,,,28,Ke7,50
1,,,,,,29,Ne2,3
1,,,,,,30,Nc5,45
1,,,,,,31,d4,9
1,,,,,,32,Ne6,2
1,,,,,,33,dxe5,9
1,,,,,,34,fxe5,3
1,,,,,,35,Be3,10
1,,,,,,36,Rhd8,2
1,,,,,,37,Nc1,3
1,,,,,,38,Bc5,40
1,,,,,,39,Bxc5+,4
1,,,,,,40,Nxc5,1
1,,,,,,41,b4,7
1,,,,,,42,Ne6,2
1,,,,,,43,Nd3,10
1,,,,,,44,Kf6,13
1,,,,,,45,Nc5,67
1,,,,,,46,Nd4+,0
1,,,,,,47,Kc3,4
1,,,,,,48,b6,2
1,,,,,,49,Nb3,14
1,,,,,,50,Nb5+,8
1,,,,,,51,Kc2,20
1,,,,,,52,Bf7,13
1,,,,,,53,Bxb5,72
1,,,,,,54,cxb5,9
1,,,,,,55,Ra3,40
1,,,,,,56,Rac8+,19
1,,,,,,57,Kb1,24
1,,,,,,58,Bxb3,213
1,,,,,,59,Rxb3,6
1,,,,,,60,Rd2,1
1,,,,,,61,g3,3
1,,,,,,62,Rcc2,11
1,,,,,,63,h4,1
1,,,,,,64,h5,2
1,,,,,,65,g4,13
1,,,,,,66,hxg4,7
1,,,,,,67,fxg4,4
1,,,,,,68,Rc4,4
1,,,,,,69,Rf1+,24
1,,,,,,70,Ke6,3
1,,,,,,71,Rf5,6
1,,,,,,72,Rxe4,21
1,,,,,,73,Rg5,8
1,,,,,,74,Kf7,43
1,,,,,,75,h5,11
1,,,,,,76,Rf2,37
1,,,,,,77,Rg6,0
1,,,,,,78,Rf6,0
1,,,,,,79,Rg5,0
1,,,,,,80,Rf2,26
1,,,,,,81,Rg6,10
1,,,,,,82,Rf6,3
1,,,,,,83,Rg5,2
1,,,,,,84,Rff4,32
1,,,,,,85,Ra3,4
1,,,,,,86,Rxg4,26
1,,,,,,87,Rxa7+,14
1,,,,,,88,Kf6,0
1,,,,,,89,Rxg4,3
1,,,,,,90,Rxg4,2
1,,,,,,91,Rb7,0
1,,,,,,92,Rxb4,11
1,,,,,,93,Rxb6+,11
1,,,,,,94,Kf5,1
1,,,,,,95,Kc2,51
1,,,,,,96,Rh4,7
1,,,,,,97,Rxb5,1
1,,,,,,98,Rxh5,2
1,,,,,,99,Rb8,14
1,,,,,,100,g5,47
1,,,,,,101,b4,14
1,,,,,,102,g4,5
1,,,,,,103,Rf8+,171
1,,,,,,104,Ke4,3
1,,,,,,105,Rg8,139
1,,,,,,106,Kf3,12
1,,,,,,107,Rf8+,43
1,,,,,,108,Kg2,9
1,,,,,,109,Kd3,26
1,,,,,,110,e4+,210
1,,,,,,111,Ke3,8
1,,,,,,112,g3,2
1,,,,,,113,Rg8,4
1,,,,,,114,Kh2,196
1,,,,,,115,Kxe4,8
1,,,,,,116,g2,36
1,,,,,,117,Kd4,0
1,,,,,,118,Kh3,0
1,,,,,,119,Rxg2,0
1,,,,,,120,Kxg2,0
1,,,,,,121,Kc4,0
1,,,,,,122,Kf3,0
1,,,,,,123,b5,0
1,,,,,,124,Ke4,0
1,,,,,,125,b6,0
1,,,,,,126,Rh1,0
1,,,,,,127,Kc5,0
1,,,,,,128,Ke5,0
1,,,,,,129,b7,0
1,,,,,,130,Rb1,0
1,,,,,,131,Kc6,0
1,,,,,,132,Ke6,0
1,,,,,,133,Kc7,0
1,,,,,,134,Rxb7+,7
1,,,,,,135,Kxb7,1
2,,,,,,,,
2,2701 vs 2632,English,"four knights, Capablanca variation",8.02,7.5,1,c4,21
2,,,,,,2,Nf6,1
2,,,,,,3,Nc3,21
2,,,,,,4,e5,2
2,,,,,,5,Nf3,5
2,,,,,,6,Nc6,5
2,,,,,,7,d3,10
2,,,,,,8,d5,7
2,,,,,,9,cxd5,1
2,,,,,,10,Nxd5,3
2,,,,,,11,e3,10
2,,,,,,12,Be7,4
2,,,,,,13,Be2,1
2,,,,,,14,O-O,1
2,,,,,,15,O-O,2
2,,,,,,16,Be6,3
2,,,,,,17,Qc2,20
2,,,,,,18,Ndb4,13
2,,,,,,19,Qb1,5
2,,,,,,20,a5,1
2,,,,,,21,a3,47
2,,,,,,22,Na6,10
2,,,,,,23,b3,13
2,,,,,,24,Nc5,8
2,,,,,,25,Nd2,1
2,,,,,,26,Qd7,13
2,,,,,,27,Na4,6
2,,,,,,28,Na6,7
2,,,,,,29,Bb2,4
2,,,,,,30,Rfd8,9
2,,,,,,31,Rc1,2
2,,,,,,32,b5,25
2,,,,,,33,Nc3,6
2,,,,,,34,b4,1
2,,,,,,35,Na4,4
2,,,,,,36,bxa3,16
2,,,,,,37,Bxa3,5
2,,,,,,38,Bxa3,1
2,,,,,,39,Rxa3,7
2,,,,,,40,Qe7,1
2,,,,,,41,Qa1,3
2,,,,,,42,Ncb4,78
2,,,,,,43,Nb2,0
2,,,,,,44,Nc5,3
2,,,,,,45,Rxa5,7
2,,,,,,46,Rxa5,0
2,,,,,,47,Qxa5,6
2,,,,,,48,Nbxd3,9
2,,,,,,49,Nxd3,7
2,,,,,,50,Nxd3,0
2,,,,,,51,Rxc7,1
2,,,,,,52,Qb4,23
2,,,,,,53,Qxb4,15
2,,,,,,54,Nxb4,19
2,,,,,,55,Nf3,53
2,,,,,,56,f6,17
2,,,,,,57,h4,2
2,,,,,,58,Kf8,6
2,,,,,,59,Rb7,10
2,,,,,,60,Nd3,12
2,,,,,,61,Rb6,17
2,,,,,,62,Nc1,4
2,,,,,,63,Bc4,20
2,,,,,,64,Bxc4,14
2,,,,,,65,bxc4,1
2,,,,,,66,Rd1+,3
2,,,,,,67,Kh2,1
2,,,,,,68,Nd3,0
2,,,,,,69,Kg3,3
2,,,,,,70,Rc1,27
2,,,,,,71,Rb8+,6
2,,,,,,72,Kf7,14
2,,,,,,73,Nd2,23
2,,,,,,74,Rc2,3
2,,,,,,75,Ne4,2
2,,,,,,76,f5,10
2,,,,,,77,Ng5+,1
2,,,,,,78,Kg6,1
2,,,,,,79,Rb6+,2
2,,,,,,80,Kh5,1
2,,,,,,81,Ne6,5
2,,,,,,82,f4+,1
2,,,,,,83,Kf3,4
2,,,,,,84,Ne1+,2
2,,,,,,85,Ke4,1
2,,,,,,86,Rxc4+,2
2,,,,,,87,Kxe5,1
2,,,,,,88,fxe3,2
2,,,,,,89,Nxg7+,4
2,,,,,,90,Kg4,3
2,,,,,,91,fxe3,0
2,,,,,,92,Nxg2,7
2,,,,,,93,e4,12
2,,,,,,94,Nxh4,1
2,,,,,,95,Kd5,7
2,,,,,,96,Rc7,11
2,,,,,,97,Ne8,11
2,,,,,,98,Re7,0
2,,,,,,99,Nf6+,1
2,,,,,,100,Kg5,1
2,,,,,,101,Re6,6
2,,,,,,102,Rxe6,1
2,,,,,,103,Kxe6,0
2,,,,,,104,Kf4,0
2,,,,,,105,Kd5,0
2,,,,,,106,Ng2,0
2,,,,,,107,Kd4,0
2,,,,,,108,h6,3
2,,,,,,109,Nd5+,0
2,,,,,,110,Kg5,2
2,,,,,,111,e5,2
2,,,,,,112,Nh4,10
2,,,,,,113,e6,2
2,,,,,,114,Ng6,2
2,,,,,,115,Ke3,19
2,,,,,,116,Kf5,5
2,,,,,,117,e7,35
2,,,,,,118,Nxe7,11
2,,,,,,119,Nxe7+,0
2,,,,,,120,Ke5,11
3,,,,,,,,
