GameID,WhiteName,WhiteElo,BlackName,BlackElo,WhiteFideId,BlackFideId,Year,Opening,Variation,Result,MoveNumber,Move,Evaluation
1,"Leko,P",2730,"Ponomariov,R",2726,703303,14103320,2012,QGA,"classical, 6...a6",1/2-1/2,1,d4,0.26
1,,,,,,,,,,,2,d5,0.28
1,,,,,,,,,,,3,c4,0.3
1,,,,,,,,,,,4,dxc4,0.4
1,,,,,,,,,,,5,Nf3,0.34
1,,,,,,,,,,,6,Nf6,0.27
1,,,,,,,,,,,7,e3,0.31
1,,,,,,,,,,,8,e6,0.31
1,,,,,,,,,,,9,Bxc4,0.33
1,,,,,,,,,,,10,a6,0.28
1,,,,,,,,,,,11,O-O,0.26
1,,,,,,,,,,,12,c5,0.23
1,,,,,,,,,,,13,dxc5,0.26
1,,,,,,,,,,,14,Bxc5,0.32
1,,,,,,,,,,,15,Qxd8+,0.29
1,,,,,,,,,,,16,Kxd8,0.21
1,,,,,,,,,,,17,Ne5,0.23
1,,,,,,,,,,,18,Ke7,0.22
1,,,,,,,,,,,19,Be2,0.21
1,,,,,,,,,,,20,Nbd7,0.2
1,,,,,,,,,,,21,Nc4,0.14
1,,,,,,,,,,,22,Ra7,0.55
1,,,,,,,,,,,23,Nbd2,0.29
1,,,,,,,,,,,24,b5,0.48
1,,,,,,,,,,,25,Na5,0.4
1,,,,,,,,,,,26,Rc7,0.43
1,,,,,,,,,,,27,a4,0.19
1,,,,,,,,,,,28,bxa4,0.25
1,,,,,,,,,,,29,Ndc4,0.19
1,,,,,,,,,,,30,Nb8,0.29
1,,,,,,,,,,,31,Rxa4,-0.06
1,,,,,,,,,,,32,Bd7,-0.05
1,,,,,,,,,,,33,Ra1,-0.07
1,,,,,,,,,,,34,Bb5,0.03
1,,,,,,,,,,,35,b3,-0.14
1,,,,,,,,,,,36,Ne4,0.21
1,,,,,,,,,,,37,Bb2,0.18
1,,,,,,,,,,,38,f6,0.13
1,,,,,,,,,,,39,Bf3,0.06
1,,,,,,,,,,,40,Ng5,0.03
1,,,,,,,,,,,41,Be2,-0.07
1,,,,,,,,,,,42,Rd8,0.13
1,,,,,,,,,,,43,Rfc1,0.06
1,,,,,,,,,,,44,Bb4,0.12
1,,,,,,,,,,,45,Bf1,-0.13
1,,,,,,,,,,,46,Nd7,0.72
1,,,,,,,,,,,47,Ba3,0.5
1,,,,,,,,,,,48,Bc5,0.41
1,,,,,,,,,,,49,Bxc5+,0.13
1,,,,,,,,,,,50,Nxc5,0.01
1,,,,,,,,,,,51,Na3,-0.05
1,,,,,,,,,,,52,Bxf1,-0.02
1,,,,,,,,,,,53,Kxf1,-0.02
1,,,,,,,,,,,54,Rdc8,-0.04
1,,,,,,,,,,,55,f3,-0.01
1,,,,,,,,,,,56,Nf7,-0.03
1,,,,,,,,,,,57,Rc3,-0.07
1,,,,,,,,,,,58,Nd7,0.0
1,,,,,,,,,,,59,Rxc7,0.02
1,,,,,,,,,,,60,Rxc7,0.02
1,,,,,,,,,,,61,N3c4,0.0
1,,,,,,,,,,,62,Nfe5,0.0
1,,,,,,,,,,,63,Ke2,-0.01
1,,,,,,,,,,,64,Nxc4,0.07
1,,,,,,,,,,,65,Nxc4,0.08
1,,,,,,,,,,,66,Nc5,0.05
1,,,,,,,,,,,67,Na5,0.05
1,,,,,,,,,,,68,Nb7,0.01
1,,,,,,,,,,,69,Nxb7,-0.01
1,,,,,,,,,,,70,Rxb7,0.01
1,,,,,,,,,,,71,Rxa6,0.0
1,,,,,,,,,,,72,Rxb3,-0.01
1,,,,,,,,,,,73,Ra7+,0.0
1,,,,,,,,,,,74,Kf8,0.0
1,,,,,,,,,,,75,Kf2,0.0
,,,,,,,,,,,
2,"Karjakin,Sergey",2779,"Kramnik,V",2799,14109603,4101588,2012,Scotch,Mieses variation,1/2-1/2,1,e4,0.35
2,,,,,,,,,,,2,e5,0.33
2,,,,,,,,,,,3,Nf3,0.27
2,,,,,,,,,,,4,Nc6,0.3
2,,,,,,,,,,,5,d4,0.21
2,,,,,,,,,,,6,exd4,0.18
2,,,,,,,,,,,7,Nxd4,0.17
2,,,,,,,,,,,8,Nf6,0.18
2,,,,,,,,,,,9,Nxc6,0.17
2,,,,,,,,,,,10,bxc6,0.21
2,,,,,,,,,,,11,e5,0.13
2,,,,,,,,,,,12,Qe7,0.16
2,,,,,,,,,,,13,Qe2,0.15
2,,,,,,,,,,,14,Nd5,0.13
2,,,,,,,,,,,15,c4,0.04
2,,,,,,,,,,,16,Nb6,0.01
2,,,,,,,,,,,17,Nc3,0.04
2,,,,,,,,,,,18,Ba6,0.03
2,,,,,,,,,,,19,b3,0.08
2,,,,,,,,,,,20,O-O-O,0.11
2,,,,,,,,,,,21,Bb2,0.19
2,,,,,,,,,,,22,Re8,0.2
2,,,,,,,,,,,23,f4,0.2
2,,,,,,,,,,,24,f6,0.17
2,,,,,,,,,,,25,O-O-O,0.19
2,,,,,,,,,,,26,fxe5,0.16
2,,,,,,,,,,,27,fxe5,0.18
2,,,,,,,,,,,28,Qxe5,0.15
2,,,,,,,,,,,29,Qxe5,0.13
2,,,,,,,,,,,30,Rxe5,0.14
2,,,,,,,,,,,31,Bd3,-0.01
2,,,,,,,,,,,32,Re8,0.13
2,,,,,,,,,,,33,Rhf1,-0.01
2,,,,,,,,,,,34,d5,-0.04
2,,,,,,,,,,,35,cxd5,-0.02
2,,,,,,,,,,,36,Bxd3,-0.06
2,,,,,,,,,,,37,Rxd3,-0.09
2,,,,,,,,,,,38,Nxd5,-0.11
2,,,,,,,,,,,39,Nxd5,-0.05
2,,,,,,,,,,,40,cxd5,-0.04
2,,,,,,,,,,,41,Rxd5,-0.02
2,,,,,,,,,,,42,Bd6,-0.03
2,,,,,,,,,,,43,Bxg7,-0.08
2,,,,,,,,,,,44,Rhg8,-0.05
2,,,,,,,,,,,45,Rf7,-0.07
2,,,,,,,,,,,46,Re2,-0.03
2,,,,,,,,,,,47,Rd2,-0.03
2,,,,,,,,,,,48,Rxg7,-0.03
2,,,,,,,,,,,49,Rxg7,0.0
2,,,,,,,,,,,50,Bf4,0.0
2,,,,,,,,,,,51,Rd7,0.0
2,,,,,,,,,,,52,Rxg2,-0.02
2,,,,,,,,,,,53,Kc2,0.0
2,,,,,,,,,,,54,Bxd2,0.0
2,,,,,,,,,,,55,Rxd2,0.0
2,,,,,,,,,,,56,Rg4,0.0
2,,,,,,,,,,,57,Rd3,0.0
2,,,,,,,,,,,58,Rg2+,0.0
2,,,,,,,,,,,59,Rd2,0.0
2,,,,,,,,,,,60,Rg4,0.0
2,,,,,,,,,,,61,Rd3,0.0
2,,,,,,,,,,,62,Rg2+,0.0
2,,,,,,,,,,,63,Rd2,0.0
2,,,,,,,,,,,64,Rg4,0.0
,,,,,,,,,,,
3,"Caruana,F",2775,"Naiditsch,A",2700,2020009,4650891,2012,Scotch,Potter variation,1/2-1/2,1,e4,0.35
3,,,,,,,,,,,2,e5,0.33
3,,,,,,,,,,,3,Nf3,0.27
3,,,,,,,,,,,4,Nc6,0.3
3,,,,,,,,,,,5,d4,0.21
3,,,,,,,,,,,6,exd4,0.18
3,,,,,,,,,,,7,Nxd4,0.17
3,,,,,,,,,,,8,Bc5,0.49
3,,,,,,,,,,,9,Nb3,0.42
3,,,,,,,,,,,10,Bb6,0.39
3,,,,,,,,,,,11,Nc3,0.36
3,,,,,,,,,,,12,Nf6,0.3
3,,,,,,,,,,,13,Qe2,-0.01
3,,,,,,,,,,,14,O-O,0.2
3,,,,,,,,,,,15,Be3,0.17
3,,,,,,,,,,,16,Re8,0.46
3,,,,,,,,,,,17,f3,0.42
3,,,,,,,,,,,18,d5,0.55
3,,,,,,,,,,,19,O-O-O,0.57
3,,,,,,,,,,,20,Be6,0.46
3,,,,,,,,,,,21,Qf2,0.52
3,,,,,,,,,,,22,Ne5,1.16
3,,,,,,,,,,,23,h3,0.9
3,,,,,,,,,,,24,Ng6,1.38
3,,,,,,,,,,,25,Bxb6,1.68
3,,,,,,,,,,,26,axb6,1.54
3,,,,,,,,,,,27,f4,1.23
3,,,,,,,,,,,28,Bd7,1.47
3,,,,,,,,,,,29,f5,1.69
3,,,,,,,,,,,30,Ne5,1.66
3,,,,,,,,,,,31,exd5,1.76
3,,,,,,,,,,,32,b5,1.72
3,,,,,,,,,,,33,a3,1.65
3,,,,,,,,,,,34,Nc4,1.69
3,,,,,,,,,,,35,Bxc4,1.63
3,,,,,,,,,,,36,bxc4,1.74
3,,,,,,,,,,,37,Nd2,1.51
3,,,,,,,,,,,38,b5,1.38
3,,,,,,,,,,,39,g4,0.85
3,,,,,,,,,,,40,b4,0.72
3,,,,,,,,,,,41,axb4,1.11
3,,,,,,,,,,,42,Ra1+,1.27
3,,,,,,,,,,,43,Ndb1,1.38
3,,,,,,,,,,,44,Ne4,1.33
3,,,,,,,,,,,45,Nxe4,0.8
3,,,,,,,,,,,46,Rxe4,0.56
3,,,,,,,,,,,47,f6,0.39
3,,,,,,,,,,,48,Qa8,0.65
3,,,,,,,,,,,49,Qf3,0.26
3,,,,,,,,,,,50,Qe8,0.56
3,,,,,,,,,,,51,Qc3,0.63
3,,,,,,,,,,,52,Qa8,0.63
3,,,,,,,,,,,53,Qf3,0.0
3,,,,,,,,,,,54,Qe8,0.57
3,,,,,,,,,,,55,Rhf1,-0.44
3,,,,,,,,,,,56,g5,0.5
3,,,,,,,,,,,57,Qg3,0.0
3,,,,,,,,,,,58,Re3,1.1
3,,,,,,,,,,,59,Rf3,-2.04
3,,,,,,,,,,,60,Re2,-2.24
3,,,,,,,,,,,61,Rf2,-3.11
3,,,,,,,,,,,62,Ba4,-2.58
3,,,,,,,,,,,63,Qf3,-4.31
3,,,,,,,,,,,64,Rxb1+,-4.76
3,,,,,,,,,,,65,Kxb1,-4.83
3,,,,,,,,,,,66,Bxc2+,-4.8
3,,,,,,,,,,,67,Kc1,-4.68
3,,,,,,,,,,,68,Bxd1,-4.85
3,,,,,,,,,,,69,Kxd1,-5.07
3,,,,,,,,,,,70,Re3,-5.24
3,,,,,,,,,,,71,Qf5,-5.34
3,,,,,,,,,,,72,h6,-2.58
3,,,,,,,,,,,73,b5,-3.41
3,,,,,,,,,,,74,Re5,-3.13
3,,,,,,,,,,,75,Qf3,-3.07
3,,,,,,,,,,,76,Qxb5,-2.24
3,,,,,,,,,,,77,Re2,-2.25
3,,,,,,,,,,,78,Qxd5+,-0.63
3,,,,,,,,,,,79,Qxd5,-0.56
3,,,,,,,,,,,80,Rxd5+,-0.53
3,,,,,,,,,,,81,Kc2,-0.53
3,,,,,,,,,,,82,Rd6,-0.55
3,,,,,,,,,,,83,Re8+,-0.66
3,,,,,,,,,,,84,Kh7,-0.72
3,,,,,,,,,,,85,Re7,-0.71
3,,,,,,,,,,,86,Rxf6,-0.27
3,,,,,,,,,,,87,Rxc7,-0.24
3,,,,,,,,,,,88,Rf4,-0.16
3,,,,,,,,,,,89,Kc3,-0.19
3,,,,,,,,,,,90,Kg6,0.0
3,,,,,,,,,,,91,Rxc4,0.0
3,,,,,,,,,,,92,Rf3+,0.0
3,,,,,,,,,,,93,Kc2,0.0
3,,,,,,,,,,,94,Rxh3,0.0
3,,,,,,,,,,,95,b4,-0.19
3,,,,,,,,,,,96,h5,-0.05
3,,,,,,,,,,,97,gxh5+,-0.03
3,,,,,,,,,,,98,Rxh5,-0.03
3,,,,,,,,,,,99,b5,-0.03
3,,,,,,,,,,,100,Rh8,-0.01
