GameID,WhiteName,WhiteElo,BlackName,BlackElo,Year,Opening,Variation,Average_CPL_White,Average_CPL_Black,MoveNumber,Move,CPL
1,"Piccoli,Lucas Fonseca",2221,"Starke,Bruno Orlando",2102,2023,Sicilian,Labourdonnais-Loewenthal (Kalashnikov) variation,3137.62,3036.0,1,e4,0
1,,,,,,,,,,2,c5,3
1,,,,,,,,,,3,Nf3,1
1,,,,,,,,,,4,Nc6,3
1,,,,,,,,,,5,d4,3
1,,,,,,,,,,6,cxd4,4
1,,,,,,,,,,7,Nxd4,5
1,,,,,,,,,,8,e5,1
1,,,,,,,,,,9,Nb5,3
1,,,,,,,,,,10,d6,1
1,,,,,,,,,,11,c4,3
1,,,,,,,,,,12,g6,17
1,,,,,,,,,,13,Bd3,6
1,,,,,,,,,,14,a6,4
1,,,,,,,,,,15,N5c3,3
1,,,,,,,,,,16,Bg7,2
1,,,,,,,,,,17,Nd5,7
1,,,,,,,,,,18,Nf6,2
1,,,,,,,,,,19,Nbc3,0
1,,,,,,,,,,20,Be6,17
1,,,,,,,,,,21,O-O,7
1,,,,,,,,,,22,Nd7,5
1,,,,,,,,,,23,b4,7
1,,,,,,,,,,24,O-O,3
1,,,,,,,,,,25,Rb1,7
1,,,,,,,,,,26,f5,8
1,,,,,,,,,,27,b5,30
1,,,,,,,,,,28,Nd4,1
1,,,,,,,,,,29,bxa6,1
1,,,,,,,,,,30,bxa6,15
1,,,,,,,,,,31,Ba3,24
1,,,,,,,,,,32,Nc5,0
1,,,,,,,,,,33,Bxc5,19
1,,,,,,,,,,34,dxc5,1
1,,,,,,,,,,35,Rb6,9
1,,,,,,,,,,36,Rb8,34
1,,,,,,,,,,37,Rxa6,6
1,,,,,,,,,,38,Qg5,1
1,,,,,,,,,,39,exf5,63
1,,,,,,,,,,40,gxf5,14
1,,,,,,,,,,41,f4,13
1,,,,,,,,,,42,exf4,19
1,,,,,,,,,,43,Nxf4,5
1,,,,,,,,,,44,Rb2,106
1,,,,,,,,,,45,Na4,35
1,,,,,,,,,,46,Rxa2,10
1,,,,,,,,,,47,Bb1,150
1,,,,,,,,,,48,Ra1,208
1,,,,,,,,,,49,Nxe6,0
1,,,,,,,,,,50,Qe3+,0
1,,,,,,,,,,51,Kh1,8
1,,,,,,,,,,52,Rb8,335
1,,,,,,,,,,53,Naxc5,333
1,,,,,,,,,,54,Nxe6,425
1,,,,,,,,,,55,Rxa1,7
1,,,,,,,,,,56,Nxc5,43
1,,,,,,,,,,57,Qd5+,6
1,,,,,,,,,,58,Kf8,156
1,,,,,,,,,,59,Qd6+,40
1,,,,,,,,,,60,Kf7,92
1,,,,,,,,,,61,Rxf5+,161
1,,,,,,,,,,62,Ke8,98874
1,,,,,,,,,,63,Qxb8+,0
1,,,,,,,,,,64,Ke7,0
1,,,,,,,,,,65,Ra7+,99226
2,,,,,,,,,,,
