GameID,WhiteName,WhiteElo,BlackName,BlackElo,Year,Opening,Variation,Average_CPL_White,Average_CPL_Black,MoveNumber,Move,CPL,Evaluation
1,"Abdusattorov,Nodirbek",2766,"Aravindh,Chithambaram VR.",2698,2024,King's Indian,London system,27.95,28.1,1,d4,5,0.21
1,,,,,,,,,,2,Nf6,2,0.19
1,,,,,,,,,,3,Nf3,0,0.21
1,,,,,,,,,,4,g6,8,0.31
1,,,,,,,,,,5,Bf4,20,0.09
1,,,,,,,,,,6,Bg7,0,0.14
1,,,,,,,,,,7,c3,1,0.1
1,,,,,,,,,,8,d6,5,0.15
1,,,,,,,,,,9,Nbd2,1,0.16
1,,,,,,,,,,10,Nh5,6,0.0
1,,,,,,,,,,11,Bg5,13,-0.05
1,,,,,,,,,,12,h6,6,-0.1
1,,,,,,,,,,13,Bh4,0,-0.12
1,,,,,,,,,,14,g5,1,-0.09
1,,,,,,,,,,15,Bg3,1,-0.09
1,,,,,,,,,,16,Nd7,26,0.18
1,,,,,,,,,,17,e4,12,0.01
1,,,,,,,,,,18,e6,28,0.29
1,,,,,,,,,,19,Bd3,1,0.32
1,,,,,,,,,,20,b6,26,0.6
1,,,,,,,,,,21,Ng1,70,-0.15
1,,,,,,,,,,22,Nxg3,0,-0.11
1,,,,,,,,,,23,hxg3,0,-0.06
1,,,,,,,,,,24,Bb7,3,0.04
1,,,,,,,,,,25,Ne2,19,-0.13
1,,,,,,,,,,26,Qe7,7,-0.08
1,,,,,,,,,,27,g4,6,-0.1
1,,,,,,,,,,28,c5,5,-0.04
1,,,,,,,,,,29,Nf1,35,-0.34
1,,,,,,,,,,30,a6,47,0.18
1,,,,,,,,,,31,Ne3,5,0.06
1,,,,,,,,,,32,b5,35,0.41
1,,,,,,,,,,33,a4,0,0.37
1,,,,,,,,,,34,b4,24,0.56
1,,,,,,,,,,35,a5,5,0.54
1,,,,,,,,,,36,O-O,3,0.57
1,,,,,,,,,,37,O-O,9,0.49
1,,,,,,,,,,38,Rfc8,22,0.71
1,,,,,,,,,,39,d5,6,0.72
1,,,,,,,,,,40,Ne5,1,0.76
1,,,,,,,,,,41,Bc2,44,0.29
1,,,,,,,,,,42,Rab8,6,0.37
1,,,,,,,,,,43,cxb4,34,0.12
1,,,,,,,,,,44,Ba8,61,0.69
1,,,,,,,,,,45,bxc5,28,0.3
1,,,,,,,,,,46,Rxc5,100,1.33
