GameID,WhiteName,WhiteElo,BlackName,BlackElo,Year,Opening,Variation,MoveNumber,Move,Evaluation
1,"Abdusattorov,Nodirbek",2766,"Aravindh,Chithambaram VR.",2698,2024,King's Indian,London system,1,d4,0.28
1,,,,,,,,2,Nf6,0.19
1,,,,,,,,3,Nf3,0.27
1,,,,,,,,4,g6,0.22
1,,,,,,,,5,Bf4,0.11
1,,,,,,,,6,Bg7,0.22
1,,,,,,,,7,c3,0.18
1,,,,,,,,8,d6,0.1
1,,,,,,,,9,Nbd2,0.0
1,,,,,,,,10,Nh5,-0.02
1,,,,,,,,11,Bg5,-0.03
1,,,,,,,,12,h6,0.0
1,,,,,,,,13,Bh4,-0.11
1,,,,,,,,14,g5,-0.03
1,,,,,,,,15,Bg3,-0.02
1,,,,,,,,16,Nd7,0.13
1,,,,,,,,17,e4,-0.04
1,,,,,,,,18,e6,0.39
1,,,,,,,,19,Bd3,0.41
1,,,,,,,,20,b6,0.54
1,,,,,,,,21,Ng1,0.06
1,,,,,,,,22,Nxg3,-0.08
1,,,,,,,,23,hxg3,-0.08
1,,,,,,,,24,Bb7,-0.05
1,,,,,,,,25,Ne2,-0.08
1,,,,,,,,26,Qe7,-0.05
1,,,,,,,,27,g4,-0.13
1,,,,,,,,28,c5,0.0
1,,,,,,,,29,Nf1,-0.35
1,,,,,,,,30,a6,0.25
1,,,,,,,,31,Ne3,0.29
1,,,,,,,,32,b5,0.33
1,,,,,,,,33,a4,0.22
1,,,,,,,,34,b4,0.53
1,,,,,,,,35,a5,0.4
1,,,,,,,,36,O-O,0.49
1,,,,,,,,37,O-O,0.46
1,,,,,,,,38,Rfc8,0.81
1,,,,,,,,39,d5,0.73
1,,,,,,,,40,Ne5,0.67
1,,,,,,,,41,Bc2,0.5
1,,,,,,,,42,Rab8,0.35
1,,,,,,,,43,cxb4,0.23
1,,,,,,,,44,Ba8,0.73
1,,,,,,,,45,bxc5,0.35
1,,,,,,,,46,Rxc5,1.34
1,,,,,,,,47,Bb3,1.29
1,,,,,,,,48,Rb4,2.39
1,,,,,,,,49,dxe6,2.58
1,,,,,,,,50,fxe6,2.8
1,,,,,,,,51,Nf5,2.4
1,,,,,,,,52,Qd7,3.18
1,,,,,,,,53,Ned4,2.54
1,,,,,,,,54,d5,3.5
1,,,,,,,,55,Nxg7,3.75
1,,,,,,,,56,Kxg7,3.69
1,,,,,,,,57,Qd2,3.71
1,,,,,,,,58,Rb8,4.31
1,,,,,,,,59,Rac1,3.05
1,,,,,,,,60,Rxc1,3.08
1,,,,,,,,61,Rxc1,3.04
1,,,,,,,,62,Kg8,3.26
1,,,,,,,,63,Qe3,3.09
1,,,,,,,,64,Nf7,3.73
1,,,,,,,,65,e5,3.09
1,,,,,,,,66,Rc8,3.24
1,,,,,,,,67,Re1,2.97
1,,,,,,,,68,Bc6,3.75
1,,,,,,,,69,Qd3,4.13
1,,,,,,,,70,Nd8,4.99
1,,,,,,,,71,Qxa6,4.0
1,,,,,,,,72,Rb8,4.48
1,,,,,,,,73,Qd3,4.45
1,,,,,,,,74,Bb5,5.84
1,,,,,,,,75,Nxb5,5.94
1,,,,,,,,76,Qxb5,6.09
1,,,,,,,,77,Qg6+,6.41
1,,,,,,,,78,Kf8,6.33
1,,,,,,,,79,Re3,4.9
1,,,,,,,,80,Nf7,7.18
1,,,,,,,,81,Rf3,7.65
,,,,,,,,,,
2,"Rapport,R",2715,"Mamedov,Rau",2637,2024,Sicilian,Nimzovich-Rossolimo attack (without ...d6),1,e4,0.2
2,,,,,,,,2,c5,0.37
2,,,,,,,,3,Nf3,0.31
2,,,,,,,,4,Nc6,0.28
2,,,,,,,,5,Bb5,0.28
2,,,,,,,,6,Nf6,0.36
2,,,,,,,,7,Bxc6,0.33
2,,,,,,,,8,dxc6,0.35
2,,,,,,,,9,d3,0.35
2,,,,,,,,10,Qc7,0.32
2,,,,,,,,11,b3,0.24
2,,,,,,,,12,g6,0.35
2,,,,,,,,13,Bb2,0.3
2,,,,,,,,14,Bg7,0.32
2,,,,,,,,15,Be5,0.35
2,,,,,,,,16,Qa5+,0.33
2,,,,,,,,17,Bc3,0.32
2,,,,,,,,18,Qc7,0.31
2,,,,,,,,19,Be5,0.34
2,,,,,,,,20,Qa5+,0.3
2,,,,,,,,21,Nbd2,0.22
2,,,,,,,,22,Bg4,0.39
2,,,,,,,,23,O-O,0.43
2,,,,,,,,24,Bxf3,0.45
2,,,,,,,,25,Nxf3,0.45
2,,,,,,,,26,O-O,0.63
2,,,,,,,,27,Re1,0.42
2,,,,,,,,28,Nh5,0.4
2,,,,,,,,29,Bxg7,0.27
2,,,,,,,,30,Nxg7,0.24
2,,,,,,,,31,Qc1,0.26
2,,,,,,,,32,f6,0.79
2,,,,,,,,33,e5,0.64
2,,,,,,,,34,f5,0.65
2,,,,,,,,35,e6,0.65
2,,,,,,,,36,Rf6,1.06
2,,,,,,,,37,b4,0.41
2,,,,,,,,38,cxb4,0.31
2,,,,,,,,39,Qh6,0.34
2,,,,,,,,40,g5,0.3
2,,,,,,,,41,Qxg5,0.31
2,,,,,,,,42,Qc5,0.33
2,,,,,,,,43,Re2,0.27
2,,,,,,,,44,Rg6,0.26
2,,,,,,,,45,Qh4,0.3
2,,,,,,,,46,Qd5,1.24
2,,,,,,,,47,Kf1,1.05
2,,,,,,,,48,Qd6,1.3
2,,,,,,,,49,Ng5,1.36
2,,,,,,,,50,h5,1.29
2,,,,,,,,51,Rae1,1.28
