,Interval,WinningChance,DrawingChance,LosingChance,TotalGames
0,"(-∞, -13.0]",3.21377331420373,3.3285509325681493,93.45767575322812,3485
1,"(-13.0, -12.8]",1.2987012987012987,5.194805194805195,93.5064935064935,231
2,"(-12.8, -12.6]",2.5974025974025974,6.493506493506493,90.9090909090909,231
3,"(-12.6, -12.4]",2.8708133971291865,4.784688995215311,92.34449760765551,209
4,"(-12.4, -12.2]",0.7434944237918215,5.5762081784386615,93.68029739776952,269
5,"(-12.2, -12.0]",1.7699115044247788,3.982300884955752,94.24778761061947,226
6,"(-12.0, -11.8]",2.380952380952381,2.7777777777777777,94.84126984126983,252
7,"(-11.8, -11.6]",1.937984496124031,5.038759689922481,93.02325581395348,258
8,"(-11.6, -11.4]",1.3559322033898304,3.728813559322034,94.91525423728814,295
9,"(-11.4, -11.2]",0.9868421052631579,5.921052631578947,93.0921052631579,304
10,"(-11.2, -11.0]",1.7647058823529411,5.588235294117648,92.64705882352942,340
11,"(-11.0, -10.8]",2.7700831024930745,3.32409972299169,93.90581717451524,361
12,"(-10.8, -10.6]",3.4759358288770055,2.941176470588235,93.58288770053476,374
13,"(-10.6, -10.4]",2.2222222222222223,3.5555555555555554,94.22222222222221,450
14,"(-10.4, -10.2]",4.282655246252676,3.4261241970021414,92.29122055674517,467
15,"(-10.2, -10.0]",2.3965141612200433,3.0501089324618738,94.55337690631809,459
16,"(-10.0, -9.8]",2.771855010660981,3.1982942430703627,94.02985074626866,469
17,"(-9.8, -9.6]",2.405498281786942,2.9209621993127146,94.67353951890034,582
18,"(-9.6, -9.4]",3.0816640986132513,4.314329738058552,92.6040061633282,649
19,"(-9.4, -9.2]",2.282453637660485,3.566333808844508,94.15121255349501,701
20,"(-9.2, -9.0]",2.9962546816479403,3.870162297128589,93.13358302122347,801
21,"(-9.0, -8.8]",2.584269662921348,3.258426966292135,94.15730337078652,890
22,"(-8.8, -8.6]",2.6812313803376364,3.7735849056603774,93.545183714002,1007
23,"(-8.6, -8.4]",3.1963470319634704,3.9269406392694064,92.87671232876711,1095
24,"(-8.4, -8.2]",3.3171521035598706,3.074433656957929,93.6084142394822,1236
25,"(-8.2, -8.0]",2.803030303030303,3.5606060606060606,93.63636363636364,1320
26,"(-8.0, -7.8]",3.1377899045020468,3.069577080491132,93.79263301500683,1466
27,"(-7.8, -7.6]",2.895871842267406,3.758471965495995,93.3456561922366,1623
28,"(-7.6, -7.4]",3.190883190883191,4.102564102564102,92.7065527065527,1755
29,"(-7.4, -7.2]",3.239289446185998,4.179728317659352,92.58098223615465,1914
30,"(-7.2, -7.0]",3.099273607748184,3.14769975786925,93.75302663438256,2065
31,"(-7.0, -6.8]",3.511705685618729,4.096989966555184,92.3913043478261,2392
32,"(-6.8, -6.6]",3.7393986121819585,4.317656129529683,91.94294525828836,2594
33,"(-6.6, -6.4]",4.110066179031696,3.726924416579589,92.16300940438872,2871
34,"(-6.4, -6.2]",3.839842468001313,4.463406629471612,91.69675090252709,3047
35,"(-6.2, -6.0]",4.105040748566254,4.165408994868699,91.72955025656505,3313
36,"(-6.0, -5.8]",3.9815817984832065,5.2275189599133265,90.79089924160346,3692
37,"(-5.8, -5.6]",4.081133919843597,5.400782013685239,90.51808406647116,4092
38,"(-5.6, -5.4]",4.100380909701994,5.8480842482635,90.05153484203451,4463
39,"(-5.4, -5.2]",4.7530095475300955,6.039850560398506,89.2071398920714,4818
40,"(-5.2, -5.0]",5.349874006590424,6.1058344640434195,88.54429152936616,5159
41,"(-5.0, -4.8]",5.220808383233533,6.54940119760479,88.22979041916167,5344
42,"(-4.8, -4.6]",5.715306304697267,6.858367565636721,87.42632612966601,5599
43,"(-4.6, -4.4]",5.83864118895966,7.2894550601556976,86.87190375088464,5652
44,"(-4.4, -4.2]",6.553984132459469,7.916522938944463,85.52949292859606,5798
45,"(-4.2, -4.0]",6.884242733299336,7.9721230664626885,85.14363420023797,5883
46,"(-4.0, -3.8]",7.24907063197026,8.905035484961136,83.8458938830686,5918
47,"(-3.8, -3.6]",8.223795079204583,9.437141894169194,82.33906302662622,5934
48,"(-3.6, -3.4]",8.572836262112006,10.691410740679915,80.73575299720808,6089
49,"(-3.4, -3.2]",8.950418544752093,11.493882807469415,79.5556986477785,6212
50,"(-3.2, -3.0]",9.456676698875336,12.102011721843814,78.44131157928085,6313
51,"(-3.0, -2.8]",10.304767652383825,12.960168980084491,76.73506336753168,6628
52,"(-2.8, -2.6]",10.945347119645495,13.914327917282126,75.14032496307237,6770
53,"(-2.6, -2.4]",11.692395654659805,14.89422527158376,73.41337907375643,6996
54,"(-2.4, -2.2]",11.98798470780994,16.671217913708354,71.3407973784817,7324
55,"(-2.2, -2.0]",13.92338177014531,17.25231175693527,68.82430647291942,7570
56,"(-2.0, -1.8]",14.671863213477495,18.003520241387978,67.32461654513452,7954
57,"(-1.8, -1.6]",15.947972814623856,18.95945629247715,65.09257089289899,8534
58,"(-1.6, -1.4]",16.753175041413584,20.320265046935397,62.926559911651026,9055
59,"(-1.4, -1.2]",17.941684445799044,21.85309356903383,60.20522198516712,9843
60,"(-1.2, -1.0]",19.6248729557424,22.803289291324035,57.57183775293356,10823
61,"(-1.0, -0.8]",21.11277944611278,24.382716049382715,54.5045045045045,11988
62,"(-0.8, -0.6]",23.135507975283804,25.635867222302057,51.22862480241414,13918
63,"(-0.6, -0.4]",26.122785331685204,27.241156042144915,46.63605862616988,16989
64,"(-0.4, -0.2]",29.479185769301303,29.02530717036494,41.495507060333765,21812
65,"(-0.2, -0.0]",34.142042509072056,30.585795749092792,35.27216174183515,28935
66,"(-0.0, 0.2]",39.038449930584896,28.39983098931611,32.561719080098996,33134
67,"(0.2, 0.4]",40.59371763893683,27.384650788171673,32.02163157289149,34764
68,"(0.4, 0.6]",42.781777763031286,27.266996250705066,29.951225986263648,30139
69,"(0.6, 0.8]",46.47790889685449,26.054210801884892,27.46788030126062,24829
70,"(0.8, 1.0]",50.64427957828973,24.712026552128073,24.643693869582194,20488
71,"(1.0, 1.2]",54.808951654233816,23.592050566596434,21.59899777916975,17561
72,"(1.2, 1.4]",57.603059372569355,22.511018926626914,19.88592170080373,15428
73,"(1.4, 1.6]",60.457257890574446,21.58314760227191,17.959594507153643,13909
74,"(1.6, 1.8]",64.18453746933608,19.63282424626098,16.182638284402945,12637
75,"(1.8, 2.0]",66.91201643272852,18.606641561109207,14.481342006162274,11684
76,"(2.0, 2.2]",69.15724657660142,17.360536715375424,13.48221670802316,10881
77,"(2.2, 2.4]",71.53227388659997,16.215420835785757,12.252305277614282,10194
78,"(2.4, 2.6]",73.62660057827344,14.880214787277984,11.493184634448575,9684
79,"(2.6, 2.8]",75.40239818515718,14.378308307226964,10.219293507615857,9257
80,"(2.8, 3.0]",76.9611148572713,13.542369071701508,9.496516071027198,8898
81,"(3.0, 3.2]",78.7626203334116,12.37379666588401,8.863583000704391,8518
82,"(3.2, 3.4]",79.66346153846153,11.778846153846153,8.557692307692308,8320
83,"(3.4, 3.6]",81.58650843222985,10.955652717051843,7.457838850718302,8005
84,"(3.6, 3.8]",82.49648652101699,10.0804906094289,7.423022869554108,7827
85,"(3.8, 4.0]",84.24162836506895,8.956007879185817,6.80236375574524,7615
86,"(4.0, 4.2]",85.4658057715114,8.393727763868759,6.140466464619845,7589
87,"(4.2, 4.4]",86.44342425060762,7.817985417229273,5.7385903321631115,7406
88,"(4.4, 4.6]",88.1419624217119,6.652748782185109,5.205288796102992,7185
89,"(4.6, 4.8]",88.29407566024268,6.62384011420414,5.082084225553176,7005
90,"(4.8, 5.0]",88.95940959409594,6.3468634686346865,4.693726937269373,6775
91,"(5.0, 5.2]",89.57367933271547,6.085881989496447,4.340438677788075,6474
92,"(5.2, 5.4]",90.3293172690763,5.57429718875502,4.096385542168675,6225
93,"(5.4, 5.6]",90.75471698113208,5.4030874785591765,3.842195540308748,5830
94,"(5.6, 5.8]",90.89887640449437,5.187265917602996,3.913857677902622,5340
95,"(5.8, 6.0]",91.344732953346,5.150939413130674,3.504327633523327,4737
96,"(6.0, 6.2]",91.72201138519924,4.648956356736242,3.6290322580645165,4216
97,"(6.2, 6.4]",92.09183673469387,4.489795918367347,3.4183673469387754,3920
98,"(6.4, 6.6]",92.53968253968254,4.021164021164021,3.439153439153439,3780
99,"(6.6, 6.8]",92.9090909090909,4.2727272727272725,2.8181818181818183,3300
100,"(6.8, 7.0]",93.01470588235294,4.144385026737968,2.840909090909091,2992
101,"(7.0, 7.2]",93.28440366972477,3.81651376146789,2.8990825688073394,2725
102,"(7.2, 7.4]",93.0713128038898,3.970826580226904,2.9578606158833063,2468
103,"(7.4, 7.6]",92.48604551309575,4.12194074710176,3.39201373980249,2329
104,"(7.6, 7.8]",93.65155131264916,3.7708830548926016,2.5775656324582337,2095
105,"(7.8, 8.0]",93.7375745526839,3.8270377733598413,2.4353876739562623,2012
