,Interval,WinningChance,DrawingChance,LosingChance,TotalGames
0,"(-∞, -13.0]",3.6871056909075883,2.5446998429651124,93.7681944661273,108893
1,"(-13.0, -12.8]",2.387357094821789,3.093476798924008,94.5191661062542,2974
2,"(-12.8, -12.6]",2.2900763358778624,2.735368956743003,94.97455470737913,3144
3,"(-12.6, -12.4]",2.2129186602870816,3.2296650717703352,94.55741626794259,3344
4,"(-12.4, -12.2]",2.316076294277929,2.806539509536785,94.87738419618529,3670
5,"(-12.2, -12.0]",2.442953020134228,3.167785234899329,94.38926174496645,3725
6,"(-12.0, -11.8]",2.648013989507869,2.7729203097676742,94.57906570072446,4003
7,"(-11.8, -11.6]",2.628032345013477,2.9424977538185084,94.42946990116802,4452
8,"(-11.6, -11.4]",2.670199755401549,2.9759478189971467,94.3538524256013,4906
9,"(-11.4, -11.2]",2.42024202420242,2.786945361202787,94.7928126145948,5454
10,"(-11.2, -11.0]",2.6686313032089064,2.6686313032089064,94.66273739358219,6108
11,"(-11.0, -10.8]",2.618032063538756,2.456243565230181,94.92572437123107,6799
12,"(-10.8, -10.6]",2.595265223446006,2.4306874287884543,94.97404734776555,7899
13,"(-10.6, -10.4]",2.7771240291833372,2.659449282184043,94.56342668863262,8498
14,"(-10.4, -10.2]",2.7865462065962774,2.3946881462936758,94.81876564711004,9187
15,"(-10.2, -10.0]",2.8276071754332626,2.4323502584372148,94.74004256612952,9867
16,"(-10.0, -9.8]",3.1449449634631392,2.229210988807696,94.62584404772917,10811
17,"(-9.8, -9.6]",2.9567732604852965,2.3541700144624778,94.68905672505223,12446
18,"(-9.6, -9.4]",2.8911319394376354,2.335976928622927,94.77289113193945,13870
19,"(-9.4, -9.2]",2.8823007728366905,2.3438489801089575,94.77385024705434,15786
20,"(-9.2, -9.0]",2.9675754515875687,2.3280601368787166,94.70436441153372,17826
21,"(-9.0, -8.8]",3.1133501259445846,2.3173803526448364,94.56926952141058,19850
22,"(-8.8, -8.6]",3.0367419212040723,2.288623284639221,94.6746347941567,22590
23,"(-8.6, -8.4]",3.1163708086785014,2.2761341222879685,94.60749506903353,25350
24,"(-8.4, -8.2]",3.2424365757699087,2.343644010310677,94.41391941391942,29484
25,"(-8.2, -8.0]",3.3704139157697988,2.4057158361219138,94.22387024810828,33171
26,"(-8.0, -7.8]",3.283468214392763,2.5831766533148044,94.13335513229242,36699
27,"(-7.8, -7.6]",3.468751546340739,2.578059280518581,93.95318917314069,40418
28,"(-7.6, -7.4]",3.658481942826418,2.7287391343310334,93.61277892284254,44636
29,"(-7.4, -7.2]",3.603440652759355,2.6628883797580287,93.73367096748262,49758
30,"(-7.2, -7.0]",3.6682324127721015,2.7105075576188473,93.62126002960906,54713
31,"(-7.0, -6.8]",3.9185542562760656,2.7868182189876523,93.29462752473628,61145
32,"(-6.8, -6.6]",3.961092230165241,2.8316535802179774,93.20725418961679,68264
33,"(-6.6, -6.4]",4.087666728540744,3.032271750947999,92.88006152051126,75422
