Interval,WinningChance,DrawingChance,LosingChance,TotalGames
"(-20.2, -20.0]",2.8315685385851426,1.8149231593259447,100.0,97084
"(-20.0, -19.8]",2.8315685385851426,1.8149231593259447,100.0,97084
"(-19.8, -19.6]",2.8315685385851426,0.0,100.0,5
"(-19.6, -19.4]",2.8315685385851426,0.0,100.0,4
"(-19.4, -19.2]",2.8315685385851426,0.0,100.0,7
"(-19.2, -19.0]",2.8315685385851426,0.0,100.0,9
"(-19.0, -18.8]",2.8315685385851426,0.0,100.0,6
"(-18.8, -18.6]",2.8315685385851426,0.0,100.0,10
"(-18.6, -18.4]",2.8315685385851426,0.0,100.0,13
"(-18.4, -18.2]",2.8315685385851426,0.0,100.0,8
"(-18.2, -18.0]",2.8315685385851426,0.0,100.0,18
"(-18.0, -17.8]",2.8315685385851426,0.0,100.0,24
"(-17.8, -17.6]",2.8315685385851426,0.0,100.0,24
"(-17.6, -17.4]",2.8315685385851426,2.5,100.0,40
"(-17.4, -17.2]",2.8315685385851426,0.0,100.0,40
"(-17.2, -17.0]",2.8315685385851426,6.0,98.18181818181819,50
"(-17.0, -16.8]",2.8315685385851426,1.282051282051282,98.18181818181819,78
"(-16.8, -16.6]",2.8315685385851426,1.2195121951219512,98.18181818181819,82
"(-16.6, -16.4]",2.8315685385851426,3.061224489795918,98.18181818181819,98
"(-16.4, -16.2]",2.8315685385851426,1.7241379310344827,98.18181818181819,116
"(-16.2, -16.0]",2.8315685385851426,2.857142857142857,98.18181818181819,140
"(-16.0, -15.8]",2.8315685385851426,0.9523809523809524,98.18181818181819,210
"(-15.8, -15.6]",2.8315685385851426,1.6194331983805668,98.18181818181819,247
"(-15.6, -15.4]",2.8315685385851426,1.8181818181818181,98.18181818181819,330
"(-15.4, -15.2]",2.8315685385851426,2.608695652173913,97.59916492693111,460
"(-15.2, -15.0]",2.8315685385851426,2.2556390977443606,97.59916492693111,532
"(-15.0, -14.8]",2.8315685385851426,2.384737678855326,97.59916492693111,629
"(-14.8, -14.6]",2.8315685385851426,2.4930747922437675,97.59916492693111,722
"(-14.6, -14.4]",2.8315685385851426,2.1468926553672314,97.59916492693111,885
"(-14.4, -14.2]",2.8315685385851426,1.5657620041753653,97.59916492693111,958
"(-14.2, -14.0]",2.8315685385851426,1.8604651162790697,97.27437916414294,1075
"(-14.0, -13.8]",2.8315685385851426,2.125919869174162,97.27437916414294,1223
"(-13.8, -13.6]",2.8315685385851426,2.0640569395017794,97.27437916414294,1405
"(-13.6, -13.4]",2.8315685385851426,1.8650575973669776,97.27437916414294,1823
"(-13.4, -13.2]",2.8315685385851426,1.9607843137254901,97.27437916414294,2346
"(-13.2, -13.0]",2.8315685385851426,1.8619934282584885,97.27437916414294,2739
"(-13.0, -12.8]",2.8315685385851426,2.048780487804878,97.27437916414294,3075
"(-12.8, -12.6]",2.8315685385851426,1.756511205330103,97.27437916414294,3302
"(-12.6, -12.4]",2.8315685385851426,2.530917457578372,97.1398795738768,3477
"(-12.4, -12.2]",2.8315685385851426,2.239958805355304,97.1398795738768,3884
"(-12.2, -12.0]",2.8315685385851426,2.0161290322580645,97.1398795738768,3968
"(-12.0, -11.8]",2.8315685385851426,2.0093457943925235,97.1398795738768,4280
"(-11.8, -11.6]",2.8315685385851426,1.7481044650379105,97.1398795738768,4748
"(-11.6, -11.4]",2.8315685385851426,1.9868791002811623,97.1398795738768,5335
"(-11.4, -11.2]",2.8315685385851426,1.6409912926992631,97.1398795738768,5972
"(-11.2, -11.0]",2.8315685385851426,1.6763957491393504,97.1398795738768,6681
"(-11.0, -10.8]",2.8315685385851426,1.6899534264803724,97.1398795738768,7515
"(-10.8, -10.6]",2.8315685385851426,1.574803149606299,97.1398795738768,8636
"(-10.6, -10.4]",2.8315685385851426,1.6617790811339197,97.00228087324861,9207
"(-10.4, -10.2]",2.8315685385851426,1.4969450101832993,96.9857433808554,9820
"(-10.2, -10.0]",2.8315685385851426,1.5633672525439408,96.90782563025209,10810
"(-10.0, -9.8]",2.8315685385851426,1.5987277140704779,96.90782563025209,11947
"(-9.8, -9.6]",2.8315685385851426,1.3799177921315327,96.90782563025209,13624
"(-9.6, -9.4]",2.8315685385851426,1.5625,96.90782563025209,15232
"(-9.4, -9.2]",2.8315685385851426,1.5159375180125656,96.81826041846793,17349
"(-9.2, -9.0]",2.8315685385851426,1.4694508894044858,96.76720804331012,19395
"(-9.0, -8.8]",2.8315685385851426,1.4258773745457891,96.73428085184675,21741
"(-8.8, -8.6]",2.8315685385851426,1.460092173416534,96.64619914539122,24519
"(-8.6, -8.4]",2.8315685385851426,1.4219541096628245,96.64619914539122,27849
"(-8.4, -8.2]",2.8315685385851426,1.5330746664143087,96.43228920223336,31701
"(-8.2, -8.0]",2.8315685385851426,1.6941558623393353,96.23365349612165,35711
"(-8.0, -7.8]",2.8315685385851426,1.748887990295188,96.08269308532147,39568
"(-7.8, -7.6]",2.8315685385851426,1.714351905478976,96.01065678211515,43165
"(-7.6, -7.4]",2.8315685385851426,1.9093179797637694,95.84982537834692,47242
