Interval,WinningChance,DrawingChance,LosingChance,TotalGames
"(-infty, -13.0]",3.112149599085247,2.024104600044033,94.86374580087073,140803
"(-13.0, -12.8]",1.4569842738205365,2.358926919518964,96.1840888066605,4324
"(-12.8, -12.6]",1.487389523604225,2.0909678810088383,96.42164259538694,4639
"(-12.6, -12.4]",1.5500713848664083,2.508668162349582,95.94126045278401,4903
"(-12.4, -12.2]",1.658374792703151,2.340151096370002,96.00147411092685,5427
"(-12.2, -12.0]",1.7895878524945772,2.1691973969631237,96.04121475054231,5532
"(-12.0, -11.8]",1.8282455551828245,2.0966118752096614,96.07514256960752,5962
"(-11.8, -11.6]",1.9653001688929832,2.026715799170889,96.00798403193613,6513
"(-11.6, -11.4]",2.019785655399835,2.2121461940093434,95.76806815059082,7278
"(-11.4, -11.2]",1.9545175169022742,1.782421634910879,96.26306084818684,8135
"(-11.2, -11.0]",1.85226264418811,1.929902395740905,96.21783496007097,9016
"(-11.0, -10.8]",1.8588095708918333,1.789598576230967,96.3515918528772,10114
"(-10.8, -10.6]",1.967382863059798,1.6826300802485115,96.34998705669169,11589
"(-10.6, -10.4]",1.8629032258064515,1.8387096774193548,96.29838709677419,12400
"(-10.4, -10.2]",2.0704088496898123,1.6219448389266762,96.30764631138351,13379
"(-10.2, -10.0]",2.108226891910452,1.7030627661035573,96.188710341986,14562
"(-10.0, -9.8]",2.140041299042613,1.6895062887178525,96.17045241223954,15981
"(-9.8, -9.6]",2.2489827339711868,1.6606180578466954,96.09039920818212,18186
"(-9.6, -9.4]",1.991084695393759,1.723625557206538,96.2852897473997,20190
"(-9.4, -9.2]",2.217506171770107,1.6934470960197499,96.08904673221015,23089
"(-9.2, -9.0]",2.286336418072945,1.7186406407963293,95.99502294113073,25718
"(-9.0, -8.8]",2.36490026897684,1.6627659202850456,95.97233381073812,28627
"(-8.8, -8.6]",2.4302874965259553,1.630485131087299,95.93922737238675,32383
"(-8.6, -8.4]",2.400021943057765,1.6210433923967305,95.9789346645455,36458
"(-8.4, -8.2]",2.5056077888607837,1.7515391590703002,95.74285305206892,41906
"(-8.2, -8.0]",2.5086027443816645,1.850121075661668,95.64127617995666,47078
"(-8.0, -7.8]",2.631780863960715,1.9239622496739046,95.44425688636538,52132
"(-7.8, -7.6]",2.76663294142274,1.9153612671388203,95.31800579143844,57326
"(-7.6, -7.4]",2.842734879577487,2.05211415481531,95.1051509656072,62862
"(-7.4, -7.2]",2.7708169256103674,2.0448199326985037,95.18436314169114,69835
"(-7.2, -7.0]",2.969443718986681,2.091930007834944,94.93862627317837,76580
"(-7.0, -6.8]",3.1475602586713696,2.1845972957084068,94.66784244562022,85050
"(-6.8, -6.6]",3.239015558222278,2.2853112697109412,94.47567317206678,94998
"(-6.6, -6.4]",3.346383206822946,2.4150242651070633,94.23859252806999,104471
"(-6.4, -6.2]",3.474701655843293,2.5603997413021715,93.96489860285455,112873
