Interval,WinningChance,DrawingChance,LosingChance,TotalGames
"(-infty, -13.0]",4.185824107110016,2.3430315959833745,95.6989247311828,27187
"(-13.0, -12.8]",4.651162790697675,1.1627906976744187,95.6989247311828,258
"(-12.8, -12.6]",4.651162790697675,1.8656716417910446,95.6989247311828,268
"(-12.6, -12.4]",4.651162790697675,1.2658227848101267,95.6989247311828,316
"(-12.4, -12.2]",4.651162790697675,3.1707317073170733,95.6989247311828,410
"(-12.2, -12.0]",4.651162790697675,1.4423076923076923,95.6989247311828,416
"(-12.0, -11.8]",4.651162790697675,1.5686274509803921,95.6989247311828,510
"(-11.8, -11.6]",5.054151624548736,1.263537906137184,95.6989247311828,554
"(-11.6, -11.4]",5.054151624548736,1.87207488299532,95.6989247311828,641
"(-11.4, -11.2]",5.054151624548736,1.6666666666666667,95.6989247311828,720
"(-11.2, -11.0]",5.054151624548736,1.5531660692951015,95.6989247311828,837
"(-11.0, -10.8]",5.054151624548736,2.19435736677116,94.42567567567568,957
"(-10.8, -10.6]",5.054151624548736,2.2804054054054053,94.42567567567568,1184
"(-10.6, -10.4]",5.054151624548736,2.329192546583851,94.41207627118644,1288
"(-10.4, -10.2]",5.054151624548736,2.3578363384188625,94.41207627118644,1442
"(-10.2, -10.0]",5.054151624548736,2.385211687537269,94.41207627118644,1677
"(-10.0, -9.8]",5.054151624548736,1.6984045290787442,94.41207627118644,1943
"(-9.8, -9.6]",5.054151624548736,1.8526315789473686,94.41207627118644,2375
"(-9.6, -9.4]",5.054151624548736,2.2338049143708116,94.41207627118644,2686
"(-9.4, -9.2]",5.054151624548736,2.1611608521148504,94.41207627118644,3239
"(-9.2, -9.0]",5.054151624548736,2.356991525423729,94.41207627118644,3776
"(-9.0, -8.8]",5.054151624548736,2.4774253299374855,94.31232659532303,4319
"(-8.8, -8.6]",5.054151624548736,2.140309155766944,94.31232659532303,5046
"(-8.6, -8.4]",5.054151624548736,2.26333752469912,94.24348035091936,5567
"(-8.4, -8.2]",5.054151624548736,2.2168235651381716,94.24348035091936,6586
"(-8.2, -8.0]",5.054151624548736,2.1404226312201775,94.24348035091936,7335
"(-8.0, -7.8]",5.054151624548736,2.0069703160677803,94.24348035091936,8321
"(-7.8, -7.6]",5.054151624548736,2.1236588872912288,94.01614865612211,9041
"(-7.6, -7.4]",5.054151624548736,2.4720656580638782,93.76050627904678,10113
"(-7.4, -7.2]",5.054151624548736,2.4191427820141995,93.69795775265142,11409
"(-7.2, -7.0]",5.054151624548736,2.462457613434523,93.57338931051187,12386
"(-7.0, -6.8]",5.054151624548736,2.5665468944782575,93.12898731392535,13637
"(-6.8, -6.6]",5.054151624548736,2.507588755444107,93.11072984030619,15154
"(-6.6, -6.4]",5.054151624548736,2.5019132277624068,93.00052981691881,16987
"(-6.4, -6.2]",5.054151624548736,2.7695041020013584,92.77838741704552,19137
"(-6.2, -6.0]",5.054151624548736,2.7437351381013353,92.56447777574537,21868
"(-6.0, -5.8]",5.054151624548736,3.0132208613837292,92.29053451212587,24658
"(-5.8, -5.6]",5.054151624548736,3.2711104837855958,91.77458625921875,28339
"(-5.6, -5.4]",5.244394408481096,3.5025174344059793,91.25308815711293,31977
"(-5.4, -5.2]",5.621192803513245,3.7824054398640032,90.59640175662274,35295
"(-5.2, -5.0]",6.026993484331368,4.09556313993174,89.87744337573689,38676
"(-5.0, -4.8]",6.304715662473331,4.460629245444959,89.23465509208171,40779
"(-4.8, -4.6]",6.78293671121874,4.815349508685326,88.40171378009593,42946
"(-4.6, -4.4]",7.44828512581714,5.341631593086774,87.21008328109609,44668
"(-4.4, -4.2]",7.819594830597277,6.099371288857842,86.0810338805449,45808
"(-4.2, -4.0]",8.289104638619202,6.724919093851132,84.98597626752967,46350
"(-4.0, -3.8]",8.876031286831672,7.4724097289188895,83.65155898424945,46665
"(-3.8, -3.6]",9.254003219520461,8.31991866474625,82.42607811573329,47212
"(-3.6, -3.4]",9.973536572456865,9.133058113686884,80.89340531385625,47235
"(-3.4, -3.2]",10.748924685839588,9.947710213376066,79.30336510078435,47428
"(-3.2, -3.0]",11.24286526674951,10.971166199793593,77.7859685334569,47479
"(-3.0, -2.8]",11.81903864278982,11.808566342025342,76.37239501518484,47745
"(-2.8, -2.6]",12.68267223382046,12.968684759916494,74.34864300626305,47900
"(-2.6, -2.4]",13.202437373053485,14.13337846987136,72.66418415707516,47264
